Level,Status,Mode,Gender,Licence,Work,Car_Avail,Family,Cars,Children,Adults,Income,Time.Auto,Time.Transit,Time.Active
UG,FT,Transit,Female,0,Other,0,Family,2,0,4,Unknown,48.36213,119.247992,313.60995
Grad,FT,Transit,Female,1,Other,1,Other,1,0,2,Unknown,18.206,67.200422,126.93099
UG,PT,Transit,Female,1,Other,1,Family,1,0,2,Unknown,10.911489999999999,42.701539000000004,73.300215
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,44.27959,156.27863200000002,436.88745
UG,FT,Auto,Male,1,Other,0,Family,2,0,4,High,35.76352,104.554086,338.0775
UG,FT,Transit,Female,1,Other,0,Roommates,0,0,4,Unknown,16.10213,35.075044,93.86652000000001
UG,FT,Active,Male,0,Other,0,Other,0,0,1,Low,0.0,0.0,0.0
UG,FT,Auto,Female,1,PT,0,Family,2,0,4,Unknown,79.51396,142.466712,533.96415
UG,FT,Transit,Female,0,Other,0,Family,2,0,5,Unknown,86.00294,169.58339999999995,608.30745
Grad,FT,Transit,Female,1,Other,0,Other,1,0,4,Unknown,5.530063,33.411738,44.366279999999996
UG,FT,Transit,Male,1,Other,0,Family,1,1,3,Unknown,32.88884,63.186389,204.17010000000002
UG,FT,Transit,Female,0,Other,0,Roommates,0,0,2,Unknown,4.289724,29.3483,30.6678
UG,FT,Transit,Female,0,Other,0,Family,1,1,4,Low,38.616820000000004,99.631286,246.88935
UG,FT,Active,Female,0,Other,0,Other,0,0,1,Low,0.0,0.0,0.0
Grad,FT,Transit,Female,0,Other,0,Other,0,0,1,Unknown,6.632627,33.425859,41.7591
UG,FT,Transit,Female,0,Other,0,Other,0,0,1,Unknown,0.0,0.0,0.0
UG,FT,Transit,Male,0,Other,0,Family,2,1,3,Low,4.58473,33.84206399999999,49.847955
UG,FT,Active,Male,1,Other,1,Other,2,0,1,Unknown,0.0,0.0,0.0
UG,FT,Active,Male,0,Other,0,Other,0,0,1,High,2.924953,24.128386,16.985265000000002
UG,FT,Active,Female,0,Other,0,Roommates,0,0,1,Unknown,2.649222,20.927781,23.086634999999998
Grad,FT,Transit,Male,1,Other,0,Family,2,0,4,Unknown,92.96398,122.503764,827.3922000000001
Grad,FT,Transit,Female,1,Other,0,Other,0,0,1,Low,13.0839,43.443395,85.07454
UG,FT,Active,Male,1,Other,0,Roommates,0,0,2,Unknown,1.710853,20.776487,15.946485
Grad,FT,Transit,Male,0,Other,0,Other,0,0,2,Low,15.91009,71.09102999999998,207.3231
