Zone#,PD,X,Y
150,3,623430,4838132
151,3,622740,4838782
152,3,623304,4839036
153,3,622321,4839972
154,3,622236,4841096
155,3,622734,4841453
156,3,622833,4840474
157,3,623955,4841712
158,3,624125,4840828
159,3,624101,4840056
160,3,624356,4839676
161,3,624365,4839186
162,3,624094,4838282
163,3,624798,4838593
164,3,624979,4837482
165,3,625590,4837080
166,3,625716,4836496
167,3,626789,4836782
168,3,627593,4837044
169,3,627337,4837670
170,3,626530,4837352
171,3,625686,4837770
172,3,626169,4838060
173,3,627115,4838238
174,3,626740,4839442
175,3,625659,4839124
176,3,625329,4838694
177,3,625367,4839763
178,3,624897,4840820
179,3,624826,4841550
180,3,624628,4842754
181,4,625996,4843073
182,4,626071,4842008
183,4,626203,4841331
184,4,626370,4840050
185,4,627384,4839152
186,4,627793,4837759
187,4,628260,4837252
188,4,628560,4838156
189,4,628245,4838926
190,4,627816,4840026
191,4,627109,4840265
192,4,627075,4841714
193,4,627113,4842484
194,4,626881,4843628
195,4,627822,4844310
196,4,628270,4842972
197,4,628377,4841875
198,4,627705,4841373
199,4,627911,4840496
200,4,628476,4840773
201,4,628799,4839885
202,4,629109,4838749
203,4,629276,4838143
204,4,629570,4838456
205,4,630426,4837296
206,4,630900,4838140
207,4,630410,4838690
208,4,630474,4839366
209,4,629474,4839582
210,4,629236,4840441
211,4,629135,4840754
212,4,629791,4841164
213,4,629093,4842316
214,4,628861,4842984
215,4,630261,4841976
216,4,630373,4840262
217,4,631400,4840666
218,4,630630,4842276
219,4,631436,4841544
220,4,632051,4841160
221,4,633082,4840642
222,4,633235,4840325
223,5,634286,4841672
224,5,633401,4842282
225,5,631805,4843210
226,5,630358,4843976
227,5,629427,4844033
228,5,628509,4845231
229,5,629536,4845764
230,5,631015,4846046
231,5,632475,4846205
232,5,633418,4846800
233,5,634722,4846906
234,5,634948,4846194
235,5,633767,4845696
236,5,632803,4845438
237,5,631677,4844958
238,5,633170,4844184
239,5,635264,4845094
240,5,635128,4844342
241,5,633737,4843698
242,5,633169,4843657
243,5,634231,4842750
244,5,635778,4843788
245,5,636301,4843167
246,5,635800,4842404
247,5,636564,4842304
248,6,636633,4841087
249,6,637071,4840112
250,6,636751,4839144
251,6,636753,4838562
252,6,637628,4838124
253,6,637766,4837292
254,6,637539,4836648
255,6,636696,4836828
256,6,636637,4837786
257,6,635842,4837076
258,6,635490,4838168
259,6,635065,4839093
260,6,636062,4841124
261,6,635123,4840599
262,6,634227,4839377
263,6,634323,4838673
264,6,634800,4837838
265,6,635136,4836988
266,6,635262,4836296
267,6,634255,4835542
268,6,633405,4835279
269,6,634302,4836395
270,6,633876,4835856
271,6,633044,4835756
272,6,633041,4836334
273,6,633708,4837250
274,6,634139,4837458
275,6,634213,4837919
276,6,633632,4837732
277,6,633202,4837252
278,6,632438,4837070
279,6,632312,4837491
280,6,632989,4837619
281,6,633307,4838752
282,6,632762,4838539
283,6,632091,4839612
284,6,631491,4839533
285,7,622706,4831704
286,7,622088,4830282
287,7,621566,4829855
288,7,620957,4830662
289,7,620927,4829008
290,7,620126,4828278
291,7,620313,4828708
292,7,619355,4830024
293,7,619580,4828496
294,7,618862,4827868
295,7,617952,4827556
296,7,618083,4828542
297,7,617142,4828714
