,Campus,Mode,HomeZone,Income,Time.Auto,Time.Transit,Time.Active
365,69,Transit,164,I donâ€™t know,15.286620000000001,51.499579,91.90423500000001
366,566,Transit,223,"Less than $ 30,000",17.88877,71.55026699999998,225.87225
367,69,Active,22,"$ 90,000 - 119,999",4.372437000000001,25.162232,31.4544
368,69,Active,147,"$ 30,000 - 59,999",15.85454,47.83985300000001,92.782125
369,566,Transit,177,"$ 60,000 - 89,999",26.988670000000003,101.771003,357.16875
370,69,Transit,3380,Unknown,77.75001,114.45811799999998,581.1192
371,3631,Transit,3607,"$ 120,000 - 149,999",10.10178,57.471728000000006,98.44960499999999
372,69,Active,40,Unknown,2.510406,26.944984,21.925545
373,69,Transit,173,Unknown,9.51093,33.826613,60.55161000000001
374,69,Transit,84,Unknown,6.41246,36.009248,56.021294999999995
375,566,Auto,563,I donâ€™t know,3.156252,24.272578,32.93961
376,69,Active,73,"$ 30,000 - 59,999",2.014925,20.126511999999998,15.20709
377,3631,Transit,3638,Unknown,14.22119,74.749112,127.60604999999998
378,566,Transit,619,I donâ€™t know,7.175169,35.198069,80.321865
379,69,Active,70,I donâ€™t know,1.117177,20.195869,11.101709999999999
380,69,Transit,65,Unknown,3.892384,28.438384000000003,39.42108
381,69,Active,119,Unknown,17.27627,40.339529,90.411075
382,69,Transit,2425,Unknown,68.95711999999999,233.62688,489.5088
383,69,Active,71,Unknown,2.924953,24.128386,16.985265000000002
384,3631,Transit,3607,"$ 90,000 - 119,999",10.10178,57.471728000000006,98.44960499999999
385,69,Transit,42,Unknown,2.776623,26.813798,23.593725
386,69,Active,116,"Less than $ 30,000",15.6506,39.913033,81.81193499999999
387,69,Transit,38,Unknown,3.320328,31.447038,28.74147
388,3631,Transit,3838,I donâ€™t know,35.58393,114.18188,373.4028
389,566,Transit,2428,I donâ€™t know,23.56165,108.22236200000002,220.21485
