HomeZone,SchoolZone,SchoolCode,Age,Sex,License,Occupation,EmploymentStatus,StudentStatus,Vehicles,IncomeClass,Adults,Children,ExpansionFactor,ModeTakenToSchool,TripToSchoolTime
2366,38,9031,21,M,Y,S,P,S,1,5,3,0,22.63,B,1100
383,38,9031,18,M,Y,O,O,S,1,7,3,0,28.13,B,600
3448,25,9244,19,F,Y,O,O,S,3,7,5,1,5.57,G,650
1029,5198,9011,21,M,Y,S,F,P,2,6,4,0,10.8,9,-1
273,269,2302,17,F,Y,O,O,S,1,4,1,1,22.26,W,830
184,25,9244,19,M,N,O,O,S,2,6,3,1,60.81,B,1305
293,38,C201,19,F,N,S,P,S,1,2,3,0,19.66,B,1200
278,38,9031,35,F,Y,P,F,P,1,4,1,0,28.59,9,-1
202,25,9244,22,F,Y,S,P,S,1,2,2,0,49.22,9,-1
366,38,9031,29,F,N,O,O,S,2,3,3,0,13.7,B,930
290,25,9244,51,F,N,G,F,P,1,4,3,0,7.39,B,1630
2214,2236,4324,17,M,Y,O,O,S,1,1,2,1,14.22,P,1000
2059,38,9031,30,F,Y,G,F,P,2,6,2,0,18.01,9,-1
3654,38,9031,19,F,Y,O,O,S,3,7,6,0,22.98,B,730
133,134,2621,17,M,Y,O,O,S,2,3,2,2,40.21,B,800
450,25,9244,32,F,Y,G,F,P,1,4,2,0,10.83,9,-1
353,38,9031,20,F,Y,G,P,S,4,7,5,1,26.3,9,-1
5171,5198,9011,32,M,Y,P,P,S,0,3,2,0,34.4,B,1015
248,25,9244,19,F,N,O,O,S,3,4,4,0,11.03,B,800
2428,38,9031,22,F,Y,S,P,S,2,4,4,0,138.22,9,-1
618,25,9244,26,M,N,O,O,P,1,5,5,0,31.75,9,-1
229,38,9031,71,M,Y,O,O,P,1,4,3,0,16.13,9,-1
1046,38,9031,30,M,Y,M,F,P,4,3,4,0,25.09,D,1400
270,38,9031,21,M,N,O,O,S,2,6,3,0,29.41,B,1000
537,25,9244,19,F,Y,S,P,S,3,6,5,1,20.26,B,800
30,38,9031,59,M,Y,S,F,P,1,7,1,1,3.89,9,-1
2108,25,9244,31,M,Y,O,O,S,4,6,5,0,14.7,D,600
3417,2667,9290,24,M,Y,O,O,S,2,4,5,0,32.59,9,-1
328,38,9031,20,M,N,S,P,S,1,7,3,0,20.15,W,800
564,38,9031,36,M,Y,P,F,P,2,6,4,0,23.22,B,1815
606,25,9244,22,M,N,S,P,S,1,5,3,0,12.22,9,-1
3691,38,9031,22,F,Y,P,P,S,3,4,4,2,36.24,P,1015
3688,5198,9011,18,M,N,O,O,S,1,3,2,0,51.04,B,715
178,38,9031,18,F,Y,S,P,S,2,4,4,0,23.19,B,800
19,25,9244,25,F,N,S,P,S,1,7,4,2,10.82,W,805
3716,38,9031,22,M,Y,S,P,P,1,7,4,0,9.31,G,850
251,25,9244,54,F,N,O,O,S,0,1,1,0,42.94,B,805
313,38,9031,20,M,Y,O,O,S,1,7,2,0,19.11,9,-1
457,25,9244,20,M,Y,O,O,S,2,1,4,0,41.65,9,-1
127,25,9244,19,M,N,O,O,S,2,4,3,1,16.23,B,900
370,25,9244,22,M,Y,P,P,S,2,4,2,1,5.47,D,1200
71,25,9244,35,F,Y,O,O,S,0,3,2,0,24.27,9,-1
404,5198,9011,19,F,Y,S,P,S,2,5,5,0,21.65,9,-1
321,25,9244,24,F,Y,O,O,P,2,2,3,1,13.58,D,830
2022,25,9244,22,M,Y,O,O,S,5,6,4,0,22.62,9,-1
120,38,9031,30,F,Y,O,O,S,2,6,2,0,29.05,B,1000
2608,38,9031,18,F,Y,G,P,S,3,6,3,1,22.48,G,715
184,25,9244,50,M,Y,S,F,P,1,7,2,0,8.72,B,1720
2053,25,9244,21,F,Y,O,O,S,3,6,4,3,11.07,J,720
3439,38,9031,19,F,Y,O,O,S,2,3,3,1,16.3,9,-1
100,25,9244,22,M,Y,O,O,S,1,4,4,0,123.57,B,1000
3429,38,9031,18,M,Y,O,O,S,2,3,3,0,31.63,9,-1
2412,2407,E0110,17,M,Y,S,P,S,4,2,3,3,26.56,D,915
264,38,9031,23,M,Y,O,O,S,2,7,4,0,38.03,D,845
2203,5198,9011,21,M,Y,G,P,S,2,6,4,0,24.37,9,-1
515,38,9031,21,F,Y,O,O,S,2,4,4,0,39.96,9,-1
65,25,9244,33,F,Y,O,O,S,1,4,2,1,22.49,B,730
90,38,9031,21,M,N,P,F,S,0,5,3,1,20.96,9,-1
2440,5198,E0436,45,M,Y,S,P,S,1,2,2,0,12.56,B,605
204,25,9244,22,F,Y,S,J,S,1,2,1,0,39.42,B,1240
74,38,9031,27,F,N,S,F,P,0,2,2,0,22.12,B,1805
3644,5198,9011,21,F,Y,O,O,S,1,3,2,0,12.25,J,900
2236,38,9031,22,M,Y,O,O,S,1,2,2,0,18.62,B,1100
5207,5198,E0436,25,F,Y,O,O,S,3,5,3,0,61.91,D,1330
259,25,9244,36,F,Y,P,F,S,2,6,2,2,24.08,B,800
184,25,9244,24,M,Y,S,P,S,0,2,3,0,25.38,B,830
4038,4037,391,17,M,N,O,O,S,2,6,2,3,100.57,W,815
2363,5198,9011,23,F,Y,P,F,S,1,7,2,0,43.67,9,-1
2237,2236,4324,17,M,Y,S,P,S,1,2,1,1,12.99,W,845
3648,371,384,22,F,Y,O,O,S,3,7,4,0,20.3,D,730
454,69,9103,34,F,Y,P,P,S,1,3,1,1,11.6,B,830
15,69,9103,21,F,N,G,P,S,1,2,3,0,10.62,P,1000
483,484,A279,22,M,Y,9,P,S,0,7,3,0,72.47,9,-1
3337,69,9103,20,M,Y,O,O,S,3,7,5,0,15.56,B,900
3716,3716,9998,45,M,Y,G,F,P,1,3,2,3,13.52,9,-1
1186,69,9103,23,F,Y,O,O,S,2,7,3,0,16.46,D,1010
3355,371,9261,21,M,N,S,P,S,1,7,4,0,36.09,B,900
2440,69,9103,19,M,N,O,O,S,2,6,3,1,12.95,9,-1
281,69,9103,38,F,Y,P,F,P,1,5,2,0,20.3,9,-1
48,69,9103,23,F,Y,O,O,S,1,2,2,0,28.93,W,815
2126,69,9103,22,M,Y,O,O,S,2,6,3,1,52.24,9,-1
177,69,9103,22,F,N,O,O,S,2,5,4,0,31.92,B,1000
90,69,9103,21,M,N,O,O,S,0,4,3,0,9,B,930
4190,3851,9309,44,F,Y,G,F,P,1,3,1,2,13.07,9,-1
